Case_ID;attrition;Ri_Global_Risk;Ci_Context_Score;Prioritization_Score;cw_prob;fin_prob;od_prob;hr_prob;mu_training_high;mu_education_high;mu_years_company_relevant;mu_years_role_relevant;mu_age_investment_window;mu_experience_sufficient;mu_role_adaptability
Lucas Wright;Yes;0.988244;0.0;0.494122;0.999909;0.99807;0.973269;0.978832;0.0;0.333333;0.0;0.2;1.0;0.375;0.9
Evelyn Taylor;Yes;0.955492;0.266667;0.611079;0.961087;0.997218;0.858641;0.986108;0.2;0.333333;1.0;0.8;1.0;1.0;0.6
Benjamin Scott;Yes;0.962172;0.0;0.481086;0.999889;0.998704;0.837853;0.988053;0.4;0.666667;0.0;0.2;1.0;0.625;0.5
Abigail Anderson;Yes;0.979582;0.0;0.489791;0.999959;0.996824;0.922592;0.987873;0.4;0.333333;0.0;0.0;0.0;0.0;0.4
Theodore Adams;Yes;0.980275;0.0;0.490138;0.99337;0.997967;0.927688;0.991835;0.0;0.333333;0.0;0.0;1.0;1.0;0.9
Nicole Bailey;Yes;0.86984;0.0;0.43492;0.992507;0.989498;0.43298;0.979351;0.0;0.0;0.0;0.0;1.0;0.75;0.7
Camila Phillips;Yes;0.989319;0.0;0.494659;0.99996;0.998764;0.965161;0.988699;0.4;0.333333;0.0;0.0;0.0;0.0;0.4
Paul Russell;Yes;0.967778;0.0;0.483889;0.994789;0.997302;0.876447;0.9848;0.0;0.666667;1.0;0.4;0.0;1.0;0.7
Christian Wood;Yes;0.94106;0.0;0.47053;0.996377;0.997455;0.742461;0.989294;0.2;0.333333;0.0;0.4;1.0;1.0;0.6
Sarah Jenkins;Yes;0.97472;0.0;0.48736;0.999915;0.99337;0.902588;0.98898;0.4;0.333333;0.0;0.0;1.0;0.0;0.4
Maria Foster;Yes;0.972474;0.0;0.486237;0.999951;0.997921;0.894263;0.982554;0.4;0.333333;0.0;0.2;1.0;0.375;0.4
Edward Allen;Yes;0.968653;0.0;0.484326;0.999943;0.994949;0.878653;0.983566;0.2;0.333333;0.0;0.0;0.0;0.0;0.9
Jason Phillips;Yes;0.974439;0.057143;0.515791;0.995963;0.997113;0.907542;0.984121;0.2;0.0;0.142857;0.4;1.0;0.75;0.4
Oscar Hall;Yes;0.959298;0.0;0.479649;0.999864;0.998375;0.848216;0.969139;0.4;0.333333;0.0;0.2;1.0;0.25;0.4
David Lewis;Yes;0.945123;0.0;0.472562;0.999909;0.998709;0.755928;0.989129;0.2;0.333333;0.0;0.2;0.166667;0.125;0.4
Emily Gonzalez;Yes;0.955984;0.0;0.477992;0.999938;0.995618;0.835775;0.969236;0.0;0.333333;0.0;0.0;1.0;1.0;0.4
Michael Davis;Yes;0.949256;0.0;0.474628;0.993089;0.99783;0.814669;0.965255;0.2;0.666667;0.0;0.0;1.0;0.875;0.6
Jordan Bailey;Yes;0.946379;0.2;0.573189;0.994187;0.99761;0.776539;0.984122;0.4;0.666667;1.0;0.2;1.0;1.0;0.9
Madison Foster;Yes;0.919318;0.366667;0.642992;0.977372;0.995055;0.672545;0.984238;0.4;0.333333;1.0;0.6;1.0;1.0;0.6
Ian Fisher;Yes;0.943045;0.166667;0.554856;0.985159;0.997163;0.779763;0.978302;0.0;0.333333;0.428571;0.6;0.5;0.5;0.6
Leah Cooper;Yes;0.961106;0.3;0.630553;0.997093;0.996755;0.910508;0.930272;0.6;0.0;0.571429;0.8;1.0;1.0;0.9
Tyler Howard;Yes;0.961158;0.166667;0.563912;0.999956;0.997724;0.850969;0.974558;0.6;0.333333;0.428571;0.4;0.333333;0.5;0.4
Faith Baker;Yes;0.958564;0.2;0.579282;0.999951;0.990144;0.837539;0.983087;0.8;0.0;1.0;0.2;1.0;1.0;0.9
Adam White;Yes;0.964541;0.171429;0.567985;0.987199;0.996855;0.868661;0.986774;0.2;0.666667;0.285714;0.6;1.0;0.875;0.6
Victoria Cruz;Yes;0.960368;0.257143;0.608755;0.986386;0.989733;0.865372;0.98149;1.0;0.0;0.428571;0.6;1.0;0.75;0.6
Dominic Collins;Yes;0.97737;0.2;0.588685;0.991683;0.99799;0.937861;0.974261;0.4;0.666667;1.0;0.2;1.0;1.0;0.7
Christian Bennett;Yes;0.96901;0.32;0.644505;0.991146;0.992693;0.897879;0.980481;1.0;0.0;0.4;0.8;1.0;1.0;0.6
Richard Johnson;Yes;0.93652;0.333333;0.634927;0.996223;0.990997;0.775276;0.952239;0.0;0.666667;0.571429;0.8;1.0;1.0;0.4
Jack Wood;Yes;0.952764;0.16;0.556382;0.992006;0.994285;0.811668;0.985635;0.6;0.333333;0.2;0.8;1.0;1.0;0.7
Sebastian Morgan;Yes;0.0992;0.171429;0.135314;0.009915;0.005395;0.413853;0.028877;0.4;0.666667;0.428571;0.4;1.0;1.0;0.6
Jessica Wilson;Yes;0.9444;0.4;0.6722;0.997048;0.995535;0.780747;0.972436;0.6;0.666667;0.571429;0.8;1.0;0.625;0.4
Eleanor Foster;Yes;0.957411;0.333333;0.645372;0.99376;0.990683;0.868083;0.95976;0.0;0.666667;0.714286;0.8;0.666667;0.75;0.6
Aria Adams;Yes;0.962919;0.171429;0.567174;0.995304;0.996986;0.874321;0.967838;0.4;0.666667;0.285714;0.6;1.0;1.0;0.4
Noah Murphy;Yes;0.974341;0.36;0.667171;0.995477;0.998138;0.900866;0.988584;0.2;0.666667;0.9;0.4;1.0;1.0;0.6
Lucy Scott;Yes;0.874745;0.366667;0.620706;0.962743;0.972244;0.554165;0.947425;0.4;0.333333;0.857143;0.6;1.0;0.875;0.6
Caroline Bennett;Yes;0.936767;0.457143;0.696955;0.996007;0.996996;0.75305;0.965278;0.4;0.666667;0.571429;0.8;1.0;1.0;0.6
Andrew Wood;Yes;0.928752;0.566667;0.747709;0.992028;0.997232;0.71013;0.97307;0.8;0.333333;0.714286;0.8;1.0;0.75;0.6
Alice Brown;Yes;0.929494;0.56;0.744747;0.986717;0.987725;0.725693;0.978174;0.6;0.666667;0.7;0.8;1.0;1.0;0.9
Laura Baker;Yes;0.935868;0.6;0.767934;0.990951;0.993961;0.740833;0.979767;0.2;1.0;1.0;0.6;1.0;1.0;0.7
Andrew Ross;Yes;0.93023;0.466667;0.698448;0.98559;0.990341;0.771079;0.94296;0.6;0.333333;1.0;0.6;1.0;1.0;0.6
Caroline Adams;Yes;0.05655;0.6;0.328275;0.002333;0.029713;0.213594;0.011092;0.6;0.666667;1.0;0.8;1.0;1.0;0.6
Brian Long;Yes;0.136774;0.0;0.068387;0.000557;0.002117;0.587846;0.044343;0.0;0.0;0.428571;0.6;1.0;0.75;0.6
Scarlett Edwards;Yes;0.950691;0.0;0.475345;0.999772;0.997754;0.810826;0.967213;0.4;0.0;0.0;0.0;1.0;0.625;0.4
Hunter Ward;Yes;0.970875;0.0;0.485438;0.999857;0.998132;0.880091;0.98776;1.0;0.333333;0.0;0.0;1.0;1.0;0.4
Paul Griffin;Yes;0.952575;0.0;0.476288;0.999901;0.9979;0.877045;0.920818;0.2;0.333333;0.0;0.0;0.333333;0.5;0.9
Sarah Perry;No;0.004627;0.0;0.002314;0.005582;0.000447;0.012025;0.001905;0.2;0.666667;0.0;0.2;0.0;1.0;0.7
Noah Fisher;No;0.013992;0.0;0.006996;0.00098;0.000533;0.061382;0.002298;1.0;0.0;0.285714;0.0;1.0;0.5;0.5
Leah Young;No;0.037128;0.1;0.068564;1.5e-05;0.001733;0.029959;0.115317;0.2;0.0;0.571429;0.8;1.0;0.75;0.6
Harper Torres;No;0.014285;0.1;0.057143;0.000623;0.000945;0.059109;0.005184;0.2;0.0;1.0;0.8;1.0;1.0;0.7
Andrew Parker;No;0.152796;0.0;0.076398;0.003325;0.001155;0.711814;0.003709;0.0;0.0;0.571429;0.6;0.5;0.625;0.4
Jason Jackson;No;0.002506;0.14;0.071253;0.000771;0.003374;0.004721;0.001587;0.8;0.0;0.7;0.2;1.0;1.0;0.7
John Price;No;0.002778;0.0;0.001389;0.000311;0.002173;0.008427;0.001298;0.8;0.333333;0.0;0.2;1.0;1.0;0.7
Carlos Lopez;No;0.053549;0.0;0.026774;0.003612;0.000473;0.194138;0.04331;0.4;0.333333;0.0;0.2;1.0;0.125;0.9
William Roberts;No;0.006978;0.0;0.003489;4e-06;0.000605;0.028176;0.003253;0.2;0.666667;0.0;0.2;1.0;1.0;0.8
Robert Anderson;No;0.007149;0.0;0.003574;0.006969;0.000927;0.017953;0.004857;0.4;0.333333;0.5;0.0;1.0;1.0;0.6
Violet Baker;No;0.115362;0.0;0.057681;0.043108;0.002059;0.478208;0.00878;0.4;0.0;0.0;0.2;0.0;0.125;0.4
Jasmine Collins;No;0.033683;0.085714;0.059699;2.1e-05;0.001588;0.153687;0.002794;0.8;0.666667;0.428571;0.2;1.0;0.5;0.6
Aria Flores;No;0.033052;0.433333;0.233193;0.001347;0.00737;0.141982;0.002706;0.2;0.666667;1.0;0.6;1.0;1.0;0.6
Rachel Ward;No;0.032199;0.366667;0.199433;0.000418;0.010811;0.135223;0.002386;0.4;0.333333;1.0;0.4;1.0;1.0;0.4
Claire Long;No;0.016684;0.266667;0.141675;0.000813;0.000695;0.069587;0.005935;0.2;0.333333;0.428571;0.8;1.0;0.625;0.6
Jonathan Lewis;No;0.016134;0.3125;0.164317;0.000208;0.000264;0.074581;0.000861;1.0;0.0;0.571429;0.8;0.5;0.625;0.7
Christopher Price;No;0.018195;0.266667;0.142431;0.001394;0.000457;0.081801;0.001509;0.2;0.333333;0.571429;0.8;1.0;1.0;0.9
Liam Hall;No;0.00153;0.266667;0.134099;0.000353;0.000263;0.005135;0.001071;0.2;0.333333;0.6;0.6;1.0;1.0;0.7
Jordan Johnson;No;0.003655;0.2;0.101828;0.000565;0.001077;0.013645;0.001277;0.4;0.0;0.428571;0.8;1.0;0.5;0.6
Dominic Perry;No;0.022883;0.4;0.211442;0.003221;0.000867;0.101268;0.001438;0.4;0.666667;0.857143;0.6;0.714286;1.0;0.4
Jason Wilson;No;0.027102;0.171429;0.099265;0.006531;0.001047;0.103534;0.012176;0.4;0.333333;0.285714;0.6;1.0;0.5;0.9
Evan Fisher;No;0.155582;0.4;0.277791;0.013967;0.072663;0.309783;0.255671;1.0;0.333333;0.571429;0.8;0.666667;0.75;0.4
Adrian Allen;No;0.027263;0.266667;0.146965;1.5e-05;0.001758;0.123558;0.002462;0.2;0.333333;0.428571;0.8;1.0;0.875;0.9
Diana Kelly;No;0.058491;0.36;0.209245;0.000543;0.004382;0.26699;0.002626;0.2;0.666667;0.9;0.4;1.0;1.0;0.7
Samuel Young;No;0.107275;0.171429;0.139352;0.302867;0.000698;0.129428;0.001005;0.4;0.333333;0.285714;0.6;1.0;0.5;0.5
Oscar Cruz;No;0.052904;0.333333;0.193119;0.001459;0.157362;0.050501;0.001649;0.0;0.666667;0.571429;0.8;1.0;0.625;0.6
Rachel Kelly;No;0.006448;0.2;0.103224;0.000243;0.000311;0.028299;0.001192;0.4;0.0;1.0;0.8;1.0;1.0;0.7
Abigail Fisher;No;0.017563;0.171429;0.094496;0.000611;0.001204;0.077682;0.002457;0.2;0.333333;0.285714;0.6;1.0;0.5;0.4
Lucas Brooks;No;0.017827;0.333333;0.17558;0.000321;0.002295;0.078912;0.001669;0.0;0.666667;0.571429;0.8;1.0;1.0;0.9
Michael Scott;No;0.003882;0.2;0.101941;0.000686;0.00056;0.014432;0.001901;0.2;0.666667;1.0;0.2;1.0;1.0;0.7
Claire Bailey;No;0.028208;0.533333;0.280771;0.000656;0.000443;0.12933;0.002087;0.4;0.666667;0.8;0.8;1.0;1.0;0.6
Julia Smith;No;0.004779;0.733333;0.369056;1.6e-05;0.000517;0.018587;0.002682;0.8;0.666667;1.0;0.8;1.0;1.0;0.9
Madison Johnson;No;0.012982;0.466667;0.239825;1.1e-05;0.032609;0.018828;0.001581;0.6;0.333333;0.857143;0.6;1.0;0.875;0.9
Nathan Barnes;No;0.00436;0.5;0.25218;0.000488;0.002892;0.012522;0.003122;1.0;0.0;0.857143;0.8;1.0;1.0;0.7
Hunter Adams;No;0.011028;0.571429;0.291228;0.002304;0.00024;0.046166;0.002245;0.6;0.666667;0.714286;0.8;1.0;1.0;0.9
Mila Nelson;No;0.017447;0.457143;0.237295;0.005986;0.032377;0.032218;0.002055;0.4;0.666667;0.571429;0.8;1.0;1.0;0.9
Nicholas Jackson;No;0.001465;0.533333;0.267399;0.000492;0.000359;0.004656;0.000974;0.4;0.666667;0.714286;0.8;1.0;1.0;0.7
Evan Rogers;No;0.002385;0.457143;0.229764;0.000389;0.000266;0.009527;0.000748;1.0;0.333333;0.571429;0.8;0.857143;1.0;0.7
Caroline Roberts;No;0.02033;0.6;0.310165;0.000326;0.006197;0.084801;0.002537;1.0;0.333333;1.0;0.6;1.0;1.0;0.9
Lucy Kelly;No;0.013397;0.466667;0.240032;0.000963;0.001596;0.05801;0.001701;0.6;0.333333;0.714286;0.8;1.0;1.0;0.9
