Case_ID;attrition;Ri_Global_Risk;Ci_Context_Score;Prioritization_Score;cw_prob;fin_prob;od_prob;hr_prob;mu_training_high;mu_education_high;mu_years_company_relevant;mu_years_role_relevant;mu_age_investment_window;mu_experience_sufficient;mu_role_adaptability
Lucas Brooks;No;0.017827;0.333333;0.17558;0.000321;0.002295;0.078912;0.001669;0.0;0.666667;0.571429;0.8;1.0;1.0;0.9
Lucas Wright;Yes;0.988244;0.0;0.494122;0.999909;0.99807;0.973269;0.978832;0.0;0.333333;0.0;0.2;1.0;0.375;0.9
Lucy Kelly;No;0.013397;0.466667;0.240032;0.000963;0.001596;0.05801;0.001701;0.6;0.333333;0.714286;0.8;1.0;1.0;0.9
Lucy Scott;Yes;0.874745;0.366667;0.620706;0.962743;0.972244;0.554165;0.947425;0.4;0.333333;0.857143;0.6;1.0;0.875;0.6
Madison Foster;Yes;0.919318;0.366667;0.642992;0.977372;0.995055;0.672545;0.984238;0.4;0.333333;1.0;0.6;1.0;1.0;0.6
Madison Johnson;No;0.012982;0.466667;0.239825;1.1e-05;0.032609;0.018828;0.001581;0.6;0.333333;0.857143;0.6;1.0;0.875;0.9
Mia Jones;No;0.003216;0.0;0.001608;8e-06;0.000388;0.013684;0.000821;0.4;0.333333;0.0;0.2;1.0;1.0;0.9
Mila Nelson;No;0.017447;0.457143;0.237295;0.005986;0.032377;0.032218;0.002055;0.4;0.666667;0.571429;0.8;1.0;1.0;0.9
Nathan Barnes;No;0.00436;0.5;0.25218;0.000488;0.002892;0.012522;0.003122;1.0;0.0;0.857143;0.8;1.0;1.0;0.7
Nicholas Jackson;No;0.001465;0.533333;0.267399;0.000492;0.000359;0.004656;0.000974;0.4;0.666667;0.714286;0.8;1.0;1.0;0.7
Nicole Bailey;Yes;0.86984;0.0;0.43492;0.992507;0.989498;0.43298;0.979351;0.0;0.0;0.0;0.0;1.0;0.75;0.7
Noah Lewis;No;0.065051;0.266667;0.165859;0.001344;0.000418;0.303599;0.001278;0.2;0.333333;1.0;0.8;1.0;1.0;0.7
Olivia Johnson;No;0.123442;0.171429;0.147435;0.00941;0.03876;0.515806;0.006138;0.6;0.333333;0.285714;0.6;1.0;1.0;0.6
Oscar Cruz;No;0.052904;0.333333;0.193119;0.001459;0.157362;0.050501;0.001649;0.0;0.666667;0.571429;0.8;1.0;0.625;0.6
Rachel Ward;No;0.032199;0.366667;0.199433;0.000418;0.010811;0.135223;0.002386;0.4;0.333333;1.0;0.4;1.0;1.0;0.4
Sarah Jenkins;Yes;0.97472;0.0;0.48736;0.999915;0.99337;0.902588;0.98898;0.4;0.333333;0.0;0.0;1.0;0.0;0.4
Theodore Adams;Yes;0.980275;0.0;0.490138;0.99337;0.997967;0.927688;0.991835;0.0;0.333333;0.0;0.0;1.0;1.0;0.9
Tyler Howard;Yes;0.961158;0.166667;0.563912;0.999956;0.997724;0.850969;0.974558;0.6;0.333333;0.428571;0.4;0.333333;0.5;0.4
Victoria Cruz;Yes;0.960368;0.257143;0.608755;0.986386;0.989733;0.865372;0.98149;1.0;0.0;0.428571;0.6;1.0;0.75;0.6
William Roberts;No;0.006978;0.0;0.003489;4e-06;0.000605;0.028176;0.003253;0.2;0.666667;0.0;0.2;1.0;1.0;0.8
William Young;Yes;0.975138;0.0;0.487569;0.990795;0.996996;0.952463;0.955905;0.4;0.666667;0.0;0.2;1.0;0.375;0.9
