Case_ID;attrition;age;business_travel;daily_rate;department;distance_from_home;education;education_field;employee_count;employee_number;environment_satisfaction;gender;hourly_rate;job_involvement;job_level;job_role;job_satisfaction;marital_status;monthly_income;monthly_rate;num_companies_worked;over18;over_time;percent_salary_hike;performance_rating;relationship_satisfaction;standard_hours;stock_option_level;total_working_years;training_times_last_year;work_life_balance;years_at_company;years_in_current_role;years_since_last_promotion;years_with_curr_manager
Lucy Scott;Yes;49;Travel_Rarely;1184;Sales;11;3;Marketing;1;2029;3;Female;43;3;3;Sales Executive;4;Married;7654;5860;1;Y;No;18;3;1;80;2;9;3;4;9;8;7;7
Madison Foster;Yes;29;Travel_Rarely;121;Sales;27;3;Marketing;1;2013;2;Female;35;3;3;Sales Executive;4;Married;7639;24525;1;Y;No;22;4;4;80;3;10;3;2;10;4;1;9
Madison Johnson;No;40;Travel_Rarely;523;Research & Development;2;3;Life Sciences;1;2072;3;Male;98;3;2;Research Scientist;4;Single;4661;22455;1;Y;No;13;3;3;80;0;9;4;3;9;8;8;8
Mia Jones;No;43;Travel_Rarely;982;Research & Development;12;3;Life Sciences;1;520;1;Male;59;2;4;Research Director;2;Divorced;14336;4345;1;Y;No;11;3;3;80;1;25;3;3;25;10;3;9
Mila Nelson;No;32;Non_Travel;953;Research & Development;5;4;Technical Degree;1;2075;2;Male;65;3;1;Research Scientist;2;Single;2718;17674;2;Y;No;14;3;2;80;0;12;3;3;7;7;0;7
Nathan Barnes;No;33;Travel_Rarely;501;Research & Development;15;2;Medical;1;2073;2;Female;95;3;2;Healthcare Representative;4;Married;4878;21653;0;Y;Yes;13;3;1;80;1;10;6;3;9;7;8;1
Nicholas Jackson;No;49;Travel_Rarely;1490;Research & Development;7;4;Life Sciences;1;2076;3;Male;35;3;3;Healthcare Representative;2;Divorced;10466;20948;3;Y;No;14;3;2;80;2;29;3;3;8;7;0;7
Nicole Bailey;Yes;35;Travel_Rarely;556;Research & Development;23;2;Life Sciences;1;2000;2;Male;50;2;2;Manufacturing Director;3;Married;5916;15497;3;Y;Yes;13;3;1;80;0;8;1;3;1;0;0;1
Noah Lewis;No;37;Travel_Rarely;482;Research & Development;3;3;Other;1;689;3;Male;36;3;3;Manufacturing Director;3;Married;9434;9606;1;Y;No;15;3;3;80;1;10;2;3;10;7;7;8
Olivia Johnson;No;47;Travel_Rarely;571;Sales;14;3;Medical;1;1503;3;Female;78;3;2;Sales Executive;3;Married;4591;24200;3;Y;Yes;17;3;3;80;1;11;4;2;5;4;1;2
Oscar Cruz;No;28;Travel_Rarely;304;Sales;9;4;Life Sciences;1;2065;2;Male;92;3;2;Sales Executive;4;Single;5253;20750;1;Y;No;16;3;4;80;0;7;1;3;7;5;0;7
Rachel Ward;No;35;Travel_Rarely;750;Research & Development;28;3;Life Sciences;1;2053;2;Male;46;4;2;Laboratory Technician;3;Married;3407;25348;1;Y;No;17;3;4;80;2;10;3;2;10;9;6;8
Sarah Jenkins;Yes;29;Travel_Frequently;746;Sales;24;3;Technical Degree;1;2004;3;Male;45;4;1;Sales Representative;1;Single;1091;10642;1;Y;No;17;3;4;80;0;1;3;3;1;0;0;0
Theodore Adams;Yes;41;Travel_Rarely;1360;Research & Development;12;3;Technical Degree;1;58;2;Female;49;3;5;Research Director;3;Married;19545;16280;1;Y;No;12;3;4;80;0;23;0;3;22;15;15;8
Tyler Howard;Yes;24;Travel_Frequently;1287;Research & Development;7;3;Life Sciences;1;2016;1;Female;55;3;1;Laboratory Technician;3;Married;2886;14168;1;Y;Yes;16;3;4;80;1;6;4;3;6;3;1;2
Victoria Cruz;Yes;40;Travel_Rarely;575;Sales;22;2;Marketing;1;2019;3;Male;68;2;2;Sales Executive;3;Married;6380;6110;2;Y;Yes;12;3;1;80;2;8;6;3;6;4;1;0
William Roberts;No;46;Travel_Rarely;705;Sales;2;4;Marketing;1;2048;2;Female;83;3;5;Manager;1;Single;18947;22822;3;Y;No;12;3;4;80;0;22;2;2;2;2;2;1
William Young;Yes;28;Travel_Rarely;890;Research & Development;2;4;Medical;1;828;3;Male;46;3;1;Research Scientist;3;Single;4382;16374;6;Y;No;17;3;4;80;0;5;3;2;2;2;2;1
