Case_ID;attrition;R;Q;P_AL_0.10;P_AL_0.50;P_AL_0.90;P_AG_0.10;P_AG_0.50;P_AG_0.90;P_AM;cw_prob;fin_prob;od_prob;hr_prob
Maria Foster;Yes;0.972474;0.0;0.097247;0.486237;0.875227;0.0;0.0;0.0;0.0;0.999951;0.997921;0.894263;0.982554
Edward Allen;Yes;0.968653;0.0;0.096865;0.484326;0.871788;0.0;0.0;0.0;0.0;0.999943;0.994949;0.878653;0.983566
Oscar Hall;Yes;0.959298;0.0;0.09593;0.479649;0.863368;0.0;0.0;0.0;0.0;0.999864;0.998375;0.848216;0.969139
David Lewis;Yes;0.945123;0.0;0.094512;0.472562;0.850611;0.0;0.0;0.0;0.0;0.999909;0.998709;0.755928;0.989129
Emily Gonzalez;Yes;0.955984;0.0;0.095598;0.477992;0.860386;0.0;0.0;0.0;0.0;0.999938;0.995618;0.835775;0.969236
Michael Davis;Yes;0.949256;0.0;0.094926;0.474628;0.854331;0.0;0.0;0.0;0.0;0.993089;0.99783;0.814669;0.965255
Brian Long;Yes;0.136774;0.0;0.013677;0.068387;0.123096;0.0;0.0;0.0;0.0;0.000557;0.002117;0.587846;0.044343
Scarlett Edwards;Yes;0.950691;0.0;0.095069;0.475345;0.855622;0.0;0.0;0.0;0.0;0.999772;0.997754;0.810826;0.967213
Hunter Ward;Yes;0.970875;0.0;0.097088;0.485438;0.873788;0.0;0.0;0.0;0.0;0.999857;0.998132;0.880091;0.98776
Paul Griffin;Yes;0.952575;0.0;0.095258;0.476288;0.857318;0.0;0.0;0.0;0.0;0.999901;0.9979;0.877045;0.920818
Sarah Perry;No;0.004627;0.0;0.000463;0.002314;0.004165;0.0;0.0;0.0;0.0;0.005582;0.000447;0.012025;0.001905
Noah Fisher;No;0.013992;0.0;0.001399;0.006996;0.012593;0.0;0.0;0.0;0.0;0.00098;0.000533;0.061382;0.002298
Andrew Parker;No;0.152796;0.0;0.01528;0.076398;0.137516;0.0;0.0;0.0;0.0;0.003325;0.001155;0.711814;0.003709
John Price;No;0.002778;0.0;0.000278;0.001389;0.0025;0.0;0.0;0.0;0.0;0.000311;0.002173;0.008427;0.001298
Carlos Lopez;No;0.053549;0.0;0.005355;0.026774;0.048194;0.0;0.0;0.0;0.0;0.003612;0.000473;0.194138;0.04331
William Roberts;No;0.006978;0.0;0.000698;0.003489;0.006281;0.0;0.0;0.0;0.0;4e-06;0.000605;0.028176;0.003253
Robert Anderson;No;0.007149;0.0;0.000715;0.003574;0.006434;0.0;0.0;0.0;0.0;0.006969;0.000927;0.017953;0.004857
Violet Baker;No;0.115362;0.0;0.011536;0.057681;0.103826;0.0;0.0;0.0;0.0;0.043108;0.002059;0.478208;0.00878
Elijah Allen;No;0.001183;0.057143;0.051547;0.029163;0.006779;0.038776;0.008222;0.001743;0.001183;0.000534;0.000198;0.00348;0.000967
Jason Phillips;Yes;0.974439;0.057143;0.148872;0.515791;0.882709;0.075882;0.235971;0.733796;0.057143;0.995963;0.997113;0.907542;0.984121
Jasmine Collins;No;0.033683;0.085714;0.080511;0.059699;0.038886;0.078071;0.053732;0.036981;0.033683;2.1e-05;0.001588;0.153687;0.002794
Leah Young;No;0.037128;0.1;0.093713;0.068564;0.043416;0.090567;0.060933;0.040995;0.037128;1.5e-05;0.001733;0.029959;0.115317
Harper Torres;No;0.014285;0.1;0.091429;0.057143;0.022857;0.082317;0.037796;0.017354;0.014285;0.000623;0.000945;0.059109;0.005184
Jason Jackson;No;0.002506;0.14;0.126251;0.071253;0.016256;0.093631;0.018732;0.003748;0.002506;0.000771;0.003374;0.004721;0.001587
Jack Wood;Yes;0.952764;0.16;0.239276;0.556382;0.873488;0.191252;0.390439;0.797075;0.16;0.992006;0.994285;0.811668;0.985635
Ian Fisher;Yes;0.943045;0.166667;0.244304;0.554856;0.865407;0.198206;0.396452;0.792983;0.166667;0.985159;0.997163;0.779763;0.978302
Tyler Howard;Yes;0.961158;0.166667;0.246116;0.563912;0.881709;0.198584;0.400241;0.806678;0.166667;0.999956;0.997724;0.850969;0.974558
Olivia Johnson;No;0.123442;0.171429;0.16663;0.147435;0.128241;0.16589;0.14547;0.127563;0.123442;0.00941;0.03876;0.515806;0.006138
Sophia Brown;No;0.003668;0.171429;0.154652;0.087548;0.020444;0.116712;0.025075;0.005387;0.003668;1.2e-05;0.000629;0.015028;0.001211
Adam White;Yes;0.964541;0.171429;0.25074;0.567985;0.88523;0.203754;0.406632;0.811516;0.171429;0.987199;0.996855;0.868661;0.986774
Sebastian Morgan;Yes;0.0992;0.171429;0.164206;0.135314;0.106423;0.162303;0.130406;0.104778;0.0992;0.009915;0.005395;0.413853;0.028877
Aria Adams;Yes;0.962919;0.171429;0.250578;0.567174;0.88377;0.20372;0.40629;0.810287;0.171429;0.995304;0.996986;0.874321;0.967838
Jason Wilson;No;0.027102;0.171429;0.156996;0.099265;0.041535;0.142553;0.068162;0.032592;0.027102;0.006531;0.001047;0.103534;0.012176
Samuel Young;No;0.107275;0.171429;0.165013;0.139352;0.113691;0.163578;0.13561;0.112424;0.107275;0.302867;0.000698;0.129428;0.001005
Abigail Fisher;No;0.017563;0.171429;0.156042;0.094496;0.03295;0.136501;0.054871;0.022058;0.017563;0.000611;0.001204;0.077682;0.002457
Jordan Bailey;Yes;0.946379;0.2;0.274638;0.573189;0.871741;0.233633;0.435058;0.810143;0.2;0.994187;0.99761;0.776539;0.984122
Faith Baker;Yes;0.958564;0.2;0.275856;0.579282;0.882707;0.233932;0.43785;0.819524;0.2;0.999951;0.990144;0.837539;0.983087
Dominic Collins;Yes;0.97737;0.2;0.277737;0.588685;0.899633;0.234387;0.442124;0.833981;0.2;0.991683;0.99799;0.937861;0.974261
Jordan Johnson;No;0.003655;0.2;0.180366;0.101828;0.02329;0.134035;0.027038;0.005454;0.003655;0.000565;0.001077;0.013645;0.001277
Rachel Kelly;No;0.006448;0.2;0.180645;0.103224;0.025803;0.141864;0.035912;0.009091;0.006448;0.000243;0.000311;0.028299;0.001192
Michael Scott;No;0.003882;0.2;0.180388;0.101941;0.023493;0.134843;0.027863;0.005757;0.003882;0.000686;0.00056;0.014432;0.001901
Victoria Cruz;Yes;0.960368;0.257143;0.327465;0.608755;0.890046;0.29336;0.496942;0.841805;0.257143;0.986386;0.989733;0.865372;0.98149
Noah Lewis;No;0.065051;0.266667;0.246505;0.165859;0.085212;0.231578;0.131707;0.074907;0.065051;0.001344;0.000418;0.303599;0.001278
Amelia Davis;Yes;0.987914;0.266667;0.338791;0.62729;0.915789;0.303979;0.513268;0.866651;0.266667;0.996494;0.99753;0.966114;0.987281
Evelyn Taylor;Yes;0.955492;0.266667;0.335549;0.611079;0.886609;0.302966;0.504775;0.84101;0.266667;0.961087;0.997218;0.858641;0.986108
Claire Long;No;0.016684;0.266667;0.241668;0.141675;0.041682;0.202116;0.066701;0.022012;0.016684;0.000813;0.000695;0.069587;0.005935
Christopher Price;No;0.018195;0.266667;0.241819;0.142431;0.043042;0.203876;0.069656;0.023798;0.018195;0.001394;0.000457;0.081801;0.001509
Liam Hall;No;0.00153;0.266667;0.240153;0.134099;0.028044;0.159168;0.020202;0.002564;0.00153;0.000353;0.000263;0.005135;0.001071
Adrian Allen;No;0.027263;0.266667;0.242726;0.146965;0.051203;0.21229;0.085265;0.034246;0.027263;1.5e-05;0.001758;0.123558;0.002462
Leah Cooper;Yes;0.961106;0.3;0.366111;0.630553;0.894995;0.337044;0.536965;0.855473;0.3;0.997093;0.996755;0.910508;0.930272
Jonathan Lewis;No;0.016134;0.3125;0.282863;0.164317;0.045771;0.232349;0.071007;0.0217;0.016134;0.000208;0.000264;0.074581;0.000861
Christian Bennett;Yes;0.96901;0.32;0.384901;0.644505;0.904109;0.357493;0.556851;0.867382;0.32;0.991146;0.992693;0.897879;0.980481
Richard Johnson;Yes;0.93652;0.333333;0.393652;0.634927;0.876202;0.369609;0.558725;0.844604;0.333333;0.996223;0.990997;0.775276;0.952239
Eleanor Foster;Yes;0.957411;0.333333;0.395741;0.645372;0.895003;0.370425;0.564922;0.861542;0.333333;0.99376;0.990683;0.868083;0.95976
Oscar Cruz;No;0.052904;0.333333;0.30529;0.193119;0.080947;0.277294;0.132796;0.063596;0.052904;0.001459;0.157362;0.050501;0.001649
Lucas Brooks;No;0.017827;0.333333;0.301783;0.17558;0.049378;0.248714;0.077087;0.023893;0.017827;0.000321;0.002295;0.078912;0.001669
Noah Murphy;Yes;0.974341;0.36;0.421434;0.667171;0.912907;0.397689;0.592252;0.882003;0.36;0.995477;0.998138;0.900866;0.988584
Diana Kelly;No;0.058491;0.36;0.329849;0.209245;0.088642;0.300179;0.145109;0.070147;0.058491;0.000543;0.004382;0.26699;0.002626
Emma Smith;No;0.038839;0.366667;0.333884;0.202753;0.071622;0.292935;0.119336;0.048615;0.038839;0.070361;0.000458;0.090183;0.004482
Oliver Walker;No;0.003912;0.366667;0.330391;0.185289;0.040188;0.232855;0.037874;0.00616;0.003912;9e-06;0.000643;0.015986;0.001359
Madison Foster;Yes;0.919318;0.366667;0.421932;0.642992;0.864053;0.401967;0.580589;0.838583;0.366667;0.977372;0.995055;0.672545;0.984238
Lucy Scott;Yes;0.874745;0.366667;0.417474;0.620706;0.823937;0.399975;0.566339;0.8019;0.366667;0.962743;0.972244;0.554165;0.947425
Rachel Ward;No;0.032199;0.366667;0.33322;0.199433;0.065646;0.287494;0.108657;0.041066;0.032199;0.000418;0.010811;0.135223;0.002386
Jessica Wilson;Yes;0.9444;0.4;0.45444;0.6722;0.88996;0.435883;0.614622;0.866655;0.4;0.997048;0.995535;0.780747;0.972436
Dominic Perry;No;0.022883;0.4;0.362288;0.211442;0.060595;0.300473;0.095673;0.030463;0.022883;0.003221;0.000867;0.101268;0.001438
Evan Fisher;No;0.155582;0.4;0.375558;0.277791;0.180024;0.363957;0.249465;0.170989;0.155582;0.013967;0.072663;0.309783;0.255671
Aria Flores;No;0.033052;0.433333;0.393305;0.233193;0.073081;0.335012;0.119678;0.042753;0.033052;0.001347;0.00737;0.141982;0.002706
Caroline Bennett;Yes;0.936767;0.457143;0.505105;0.696955;0.888805;0.491145;0.654398;0.871914;0.457143;0.996007;0.996996;0.75305;0.965278
Mila Nelson;No;0.017447;0.457143;0.413173;0.237295;0.061417;0.329776;0.089307;0.024185;0.017447;0.005986;0.032377;0.032218;0.002055
Evan Rogers;No;0.002385;0.457143;0.411667;0.229764;0.047861;0.27027;0.03302;0.004034;0.002385;0.000389;0.000266;0.009527;0.000748
Andrew Ross;Yes;0.93023;0.466667;0.513023;0.698448;0.883874;0.499994;0.658868;0.868225;0.466667;0.98559;0.990341;0.771079;0.94296
Madison Johnson;No;0.012982;0.466667;0.421298;0.239825;0.058351;0.326168;0.077836;0.018575;0.012982;1.1e-05;0.032609;0.018828;0.001581
Lucy Kelly;No;0.013397;0.466667;0.42134;0.240032;0.058724;0.327195;0.079068;0.019107;0.013397;0.000963;0.001596;0.05801;0.001701
Nathan Barnes;No;0.00436;0.5;0.450436;0.25218;0.053924;0.311186;0.046689;0.007005;0.00436;0.000488;0.002892;0.012522;0.003122
Claire Bailey;No;0.028208;0.533333;0.482821;0.280771;0.078721;0.397499;0.122655;0.037847;0.028208;0.000656;0.000443;0.12933;0.002087
Nicholas Jackson;No;0.001465;0.533333;0.480146;0.267399;0.054652;0.295719;0.027951;0.002642;0.001465;0.000492;0.000359;0.004656;0.000974
Alice Brown;Yes;0.929494;0.56;0.596949;0.744747;0.892545;0.589107;0.721468;0.883569;0.56;0.986717;0.987725;0.725693;0.978174
Andrew Wood;Yes;0.928752;0.566667;0.602875;0.747709;0.892543;0.595367;0.72546;0.88398;0.566667;0.992028;0.997232;0.71013;0.97307
Hunter Adams;No;0.011028;0.571429;0.515389;0.291228;0.067068;0.385049;0.079384;0.016366;0.011028;0.002304;0.00024;0.046166;0.002245
Laura Baker;Yes;0.935868;0.6;0.633587;0.767934;0.902281;0.627274;0.749347;0.895176;0.6;0.990951;0.993961;0.740833;0.979767
Caroline Adams;Yes;0.05655;0.6;0.545655;0.328275;0.110895;0.473783;0.184201;0.071615;0.05655;0.002333;0.029713;0.213594;0.011092
Caroline Roberts;No;0.02033;0.6;0.542033;0.310165;0.078297;0.427711;0.110445;0.028519;0.02033;0.000326;0.006197;0.084801;0.002537
Julia Smith;No;0.004779;0.733333;0.660478;0.369056;0.077635;0.443308;0.0592;0.007906;0.004779;1.6e-05;0.000517;0.018587;0.002682
